Date,BZ=F,EURUSD=X,GBPUSD=X,GC=F,HG=F,NG=F,SI=F,USDIDR=X,^GDAXI,^GSPC,^IXIC,^JKSE
2020-10-16,42.93000030517578,1.1707134246826172,1.2902060747146606,1900.800048828125,3.065000057220459,2.7730000019073486,24.368999481201172,14652.5,12908.990234375,3483.81005859375,11671.5595703125,5103.4140625
2020-10-19,42.619998931884766,1.1715501546859741,1.2927746772766113,1906.4000244140625,3.0810000896453857,2.7950000762939453,24.656999588012695,14693.0,12854.66015625,3426.919921875,11478.8798828125,5126.330078125
2020-10-20,43.15999984741211,1.176885962486267,1.2948671579360962,1910.4000244140625,3.1435000896453857,2.9130001068115234,24.937000274658203,14708.0,12736.9501953125,3443.1201171875,11516.490234375,5099.83984375
2020-10-21,41.72999954223633,1.1829839944839478,1.2954038381576538,1924.5999755859375,3.194499969482422,3.0230000019073486,25.19700050354004,14688.0,12557.6396484375,3435.56005859375,11484.6904296875,5096.44580078125
2020-10-22,42.459999084472656,1.1853959560394287,1.3131976127624512,1901.0999755859375,3.1500000953674316,3.006999969482422,24.665000915527344,14639.775390625,12543.0595703125,3453.489990234375,11506.009765625,5091.81591796875
2020-10-23,41.77000045776367,1.1815024614334106,1.307805061340332,1902.0,3.125499963760376,2.9709999561309814,24.62700080871582,14639.8525390625,12645.75,3465.389892578125,11548.2802734375,5112.18798828125
2020-10-26,40.459999084472656,1.1848480701446533,1.3054660558700562,1902.699951171875,3.0885000228881836,3.0239999294281006,24.375999450683594,14642.7822265625,12177.1796875,3400.969970703125,11358.9404296875,5144.048828125
2020-10-27,41.20000076293945,1.1809443235397339,1.301574945449829,1908.800048828125,3.0899999141693115,3.0190000534057617,24.525999069213867,14724.2001953125,12063.5703125,3390.679931640625,11431.349609375,5128.22509765625
2020-10-28,39.119998931884766,1.1784114837646484,1.303186297416687,1876.199951171875,3.056999921798706,2.996000051498413,23.323999404907227,14653.2744140625,11560.509765625,3271.030029296875,11004.8701171875,
2020-10-29,37.650001525878906,1.1748672723770142,1.2989881038665771,1865.5999755859375,3.052000045776367,3.3010001182556152,23.339000701904297,14777.2001953125,11598.0703125,3310.110107421875,11185.58984375,
2020-10-30,37.459999084472656,1.1678695678710938,1.2931926250457764,1877.4000244140625,3.0434999465942383,3.3540000915527344,23.617000579833984,14818.0,11556.48046875,3269.9599609375,10911.58984375,
2020-11-02,38.970001220703125,1.1642121076583862,1.2926744222640991,1890.4000244140625,3.073499917984009,3.24399995803833,24.006000518798828,14586.169921875,11788.2802734375,3310.239990234375,10957.6103515625,5115.1279296875
2020-11-03,39.709999084472656,1.1642799377441406,1.2923903465270996,1908.5,3.0869998931884766,3.059000015258789,24.30500030517578,14603.9580078125,12088.98046875,3369.159912109375,11160.5703125,5159.4521484375
2020-11-04,41.22999954223633,1.176221489906311,1.3121638298034668,1894.5999755859375,3.1010000705718994,3.0460000038146973,23.86400032043457,14540.892578125,12324.2197265625,3443.43994140625,11590.7802734375,5105.19921875
2020-11-05,40.93000030517578,1.17326819896698,1.2966804504394531,1945.300048828125,3.1045000553131104,2.941999912261963,25.17099952697754,14360.0,12568.08984375,3510.449951171875,11890.9296875,5260.326171875
2020-11-06,39.45000076293945,1.1817537546157837,1.3139395713806152,1950.300048828125,3.1489999294281006,2.888000011444092,25.645999908447266,14256.0,12480.01953125,3509.43994140625,11895.23046875,5335.52880859375
2020-11-09,42.400001525878906,1.1893010139465332,1.318061351776123,1853.199951171875,3.1514999866485596,2.8589999675750732,23.684999465942383,14198.671875,13095.9697265625,3550.5,11713.7802734375,5356.0048828125
2020-11-10,43.61000061035156,1.182732105255127,1.3169677257537842,1875.4000244140625,3.1505000591278076,2.9489998817443848,24.445999145507812,14256.3603515625,13163.1103515625,3545.530029296875,11553.8603515625,5462.73876953125
